Tính từ,Adjective,Class,Tính từ2,Adjective2,Class2,Danh từ,Noun,Class3
màu đỏ,red,color,ngọt,sweet,taste,ly,cup,furniture
màu vàng,yellow,color,chua,sour,taste,kính,glass,furniture
màu tím,purple,color,đắng,bitter,taste,bàn,table,furniture
màu nâu,brown,color,cay,spicy,taste,ghế,chair,furniture
hình tròn,round,shape,đẹp,beautiful,value,xe,car,furniture
hình vuông,square,shape,xấu,ugly,value,chuối,banana,food
đục,opaque,visibility,lớn,big,size,cơm,rice,food
trong,clear,visibility,nhỏ,small,size,xoài,mango,food
dơ,dirty,appearance,dài,long,length,ớt,pepper,food
sạch,clean,appearance,ngắn,short,length,nước,water,food
nhựa,plastic,material,cao,tall,height,,,
gỗ,wooden,material,thấp,short,height,,,
